EXC_1	EXC_2	INH_1	INH_2
ENSMUSG00000000394___Gcg	0	0	0	0.318365
ENSMUSG00000000399___Ndufa9	32.051331	38.039513	39.782604	40.116096
ENSMUSG00000000402___Egfl6	0.93649	0.488676	0.783148	0.953418
ENSMUSG00000000409___Lck	3.897414	4.628691	3.8269	3.78899
ENSMUSG00000000411___Tssk3	1.232377	2.285799	2.10619	0.719058
ENSMUSG00000000416___Cttnbp2	270.962433	352.964996	249.079697	277.21344
ENSMUSG00000000420___Galnt1	30.379322	29.974463	56.777931	48.657337
ENSMUSG00000000435___Myf5	0.118822	0.175724	0.07737	0
ENSMUSG00000000439___Mkrn2	34.852306	33.674099	42.903801	40.429577
ENSMUSG00000000440___Pparg	22.323965	28.933809	8.897799	5.586361
ENSMUSG00000000441___Raf1	133.016037	135.115875	168.97496	168.418198
ENSMUSG00000000486___Septin1	3.912286	4.620895	4.352423	6.462693
ENSMUSG00000000489___Pdgfb	26.546755	34.657639	13.803835	16.096731
ENSMUSG00000000530___Acvrl1	0.550318	0.537652	2.217031	2.340397
ENSMUSG00000000531___Grasp	18.345566	24.521616	9.821158	8.476509
ENSMUSG00000000532___Acvr1b	59.784843	57.214233	51.543575	45.597198
ENSMUSG00000000538___Tom1l2	104.4422	110.84803	95.518745	102.684944
ENSMUSG00000000544___Gpa33	0	0	0	0
ENSMUSG00000000552___Zfp385a	12.110425	11.640748	20.751129	25.393599
ENSMUSG00000000555___Itga5	7.899192	8.362358	13.857916	14.072348
ENSMUSG00000000560___Gabra2	77.44091	96.219543	73.772003	76.923676
ENSMUSG00000000561___Wdr77	36.692562	37.272858	39.423077	42.145405
ENSMUSG00000000562___Adora3	0.124391	0.134882	0.118289	0.148604
ENSMUSG00000000563___Atp5pb	99.195625	97.898865	125.510628	104.556892
ENSMUSG00000000567___Sox9	1.590057	1.584519	1.075259	0.973815
ENSMUSG00000000568___Hnrnpd	54.684933	61.815849	67.282906	74.615372
ENSMUSG00000000579___Dynlt1c	18.699139	18.565945	40.677574	35.037601
ENSMUSG00000000581___C1d	14.566694	25.875303	26.410233	29.188568
ENSMUSG00000000594___Gm2a	5.540401	4.149613	6.750341	6.432528
ENSMUSG00000000600___Krit1	240.411758	253.646271	252.142319	241.926346
ENSMUSG00000000605___Clcn4	77.531158	71.493729	77.066986	79.256287
ENSMUSG00000000606___Vmn2r88	0	0	0	0
ENSMUSG00000000617___Grm6	0	0	0.124523	0.103722
ENSMUSG00000000627___Sema4f	27.990129	33.756733	25.726364	27.14649
ENSMUSG00000000628___Hk2	0.558495	0.382875	0.566191	0.305578
ENSMUSG00000000631___Myo18a	89.324867	110.093666	80.540237	106.70533
ENSMUSG00000000632___Sez6	85.685959	91.743408	99.49218	117.011269
ENSMUSG00000000673___Haao	0.094198	0	0.35903	1.848449
ENSMUSG00000000682___Cd52	0.932635	0.35687	1.258797	1.484595
ENSMUSG00000000686___Abhd15	8.015811	6.664203	8.450617	7.974568
ENSMUSG00000000690___Hoxb6	0.149546	0	0	0
ENSMUSG00000000693___Loxl3	3.631751	2.711145	4.701205	3.859353
ENSMUSG00000000701___Tcl1b5	0	0	0	0
ENSMUSG00000000706___Btn1a1	0	0.51617	0.332805	0.370503
ENSMUSG00000000708___Kat2b	9.855124	12.90857	36.214882	32.577164
ENSMUSG00000000711___Rab5b	47.65868	44.813789	48.678947	47.22525
ENSMUSG00000000724___Cryba1	4.635716	5.137127	5.899387	8.690002
ENSMUSG00000000730___Dnmt3l	0.150333	0.758386	0.31871	0
ENSMUSG00000000731___Aire	0.370138	0.329504	0	0
ENSMUSG00000000732___Icosl	1.897838	1.705688	0.444242	0.35907
ENSMUSG00000000738___Spg7	50.446312	56.699711	55.637852	64.228462
ENSMUSG00000000739___Sult5a1	0.059265	1.086151	0.069762	0.045354
ENSMUSG00000000740___Rpl13	51.32489	40.590183	49.898918	40.93803
ENSMUSG00000000743___Chmp1a	46.407673	47.553909	36.956028	38.194405
ENSMUSG00000000751___Rpa1	11.430298	12.833776	12.452462	11.000024
ENSMUSG00000000753___Serpinf1	1.343214	1.852718	8.613623	12.549469
ENSMUSG00000000759___Tubgcp3	48.207733	50.328854	64.157692	78.744415
ENSMUSG00000000766___Oprm1	18.800325	14.384668	28.427177	28.887733
ENSMUSG00000000776___Polr3d	24.596972	19.471153	27.727209	26.902468
ENSMUSG00000000782___Tcf7	2.924549	2.527341	6.212945	8.599343
ENSMUSG00000000787___Ddx3x	61.068054	63.83725	70.248077	71.155449
ENSMUSG00000000791___Il12rb1	0.587471	0	0.815862	0.277863
ENSMUSG00000000792___Slc5a5	5.208239	2.608567	2.902654	3.488438
ENSMUSG00000000794___Kcnn3	18.066893	19.857431	31.950611	36.674885
ENSMUSG00000000804___Usp32	71.719162	75.883018	58.040218	68.248322
ENSMUSG00000000805___Car4	37.320293	35.934441	27.064531	25.698275
ENSMUSG00000000811___Txnrd3	0.931302	2.155842	2.96506	3.490043
ENSMUSG00000000817___Fasl	0.362323	0.592103	2.012456	0.980028
ENSMUSG00000000823___Zfp512b	88.552139	110.069176	84.135651	97.64801
ENSMUSG00000000826___Dnajc5	81.648735	75.925507	73.962616	69.394424
ENSMUSG00000000827___Tpd52l2	70.853592	86.236237	110.753288	96.520424
ENSMUSG00000000838___Fmr1	71.090866	102.008797	98.022629	80.230461
ENSMUSG00000000861___Bcl11a	135.478241	153.986877	72.00576	78.428703
ENSMUSG00000000869___Il4	16.582554	18.890898	11.006901	18.066307
ENSMUSG00000000876___Pxmp4	6.497533	8.052532	10.644193	13.356
ENSMUSG00000000881___Dlg3	50.377808	51.268604	47.918118	42.263065
ENSMUSG00000000884___Gnb1l	2.101919	3.386472	2.6936	2.086441
ENSMUSG00000000889___Dbh	0.016811	0.264389	0.643588	0.378137
ENSMUSG00000000901___Mmp11	4.270238	1.975635	5.897815	4.223739
ENSMUSG00000000902___Smarcb1	28.215204	32.909977	32.157738	30.547037
ENSMUSG00000000903___Vpreb3	0	0	0	0
ENSMUSG00000000915___Hip1r	37.572216	40.481495	37.467068	37.929142
ENSMUSG00000000916___Nsun5	27.303841	38.336082	32.104813	33.958485
ENSMUSG00000000934___Top1mt	13.301805	15.778425	16.776909	18.998432
ENSMUSG00000000938___Hoxa10	0	0	0	0
ENSMUSG00000000942___Hoxa4	0.170456	0	0	0.377086
ENSMUSG00000000948___Gm38393	266.800476	297.71225	388.03421	373.319733
ENSMUSG00000000957___Mmp14	2.405463	1.835704	1.808075	2.003774
ENSMUSG00000000958___Slc7a7	1.568637	1.952381	1.468013	2.188166
ENSMUSG00000000959___Oxa1l	39.61401	54.551418	57.467991	53.205715
ENSMUSG00000000976___Heatr6	31.327621	37.076221	38.29129	40.849636
ENSMUSG00000000982___Ccl3	0.249876	0	0	0.459781
ENSMUSG00000000983___Wfdc18	0	0	0	0
ENSMUSG00000001014___Icam4	0	0	0	0
ENSMUSG00000001016___Ilf2	77.699196	76.335548	74.666962	67.776291
ENSMUSG00000001017___Chtop	75.901604	65.25103	68.897858	74.360901
ENSMUSG00000001018___Snapin	27.0411	20.963781	27.490175	25.855742
ENSMUSG00000001020___S100a4	0	0	0	0
ENSMUSG00000001021___S100a3	0.161558	1.684427	0	0
ENSMUSG00000001023___S100a5	0	0	0	0
ENSMUSG00000001025___S100a6	5.496542	7.452399	3.046333	1.408445
ENSMUSG00000001027___Scn4a	0	0	0	0
ENSMUSG00000001029___Icam2	0	0	0.826074	0.097983
ENSMUSG00000001034___Mapk7	13.515173	10.668475	11.703076	12.219242
ENSMUSG00000001036___Epn2	118.759583	129.123169	99.562378	95.566696
ENSMUSG00000001039___B9d1	65.117332	80.01458	67.83152	67.655922
ENSMUSG00000001052___Sec24b	92.343742	103.234909	117.982819	120.052025
ENSMUSG00000001053___N4bp3	8.122364	7.153929	8.431642	8.87438
ENSMUSG00000001054___Rmnd5b	49.489231	50.989044	29.860723	33.531399
ENSMUSG00000001056___Nhp2	13.869846	15.507942	13.897956	9.410084
ENSMUSG00000001062___Vps9d1	50.045811	60.04652	48.430073	56.752522
ENSMUSG00000001065___Zfp276	49.131939	53.706055	45.449089	50.281635
ENSMUSG00000001076___C1ql4	0	0.211078	1.136783	0.448404
ENSMUSG00000001082___Mfsd10	81.710358	79.236839	69.047607	76.772308
ENSMUSG00000001089___Luzp1	39.522202	36.632591	47.296722	48.900288
ENSMUSG00000001095___Slc13a2	0	0	0	0
ENSMUSG00000001098___Kctd10	10.849137	12.636406	11.589728	11.569677
ENSMUSG00000001100___Poldip2	46.437714	49.269009	48.365944	60.841187
ENSMUSG00000001103___Sebox	3.772272	1.536199	2.543229	2.526953
ENSMUSG00000001105___Ift20	66.629066	71.713974	71.838081	66.702248
ENSMUSG00000001119___Col6a1	43.387859	58.913189	24.035929	35.673313
ENSMUSG00000001120___Pcbp3	31.868599	31.497959	34.51984	34.46645
ENSMUSG00000001123___Lgals9	0.436961	0.494659	0.788644	0.549236
ENSMUSG00000001127___Araf	85.43399	85.978012	125.913818	135.778748
ENSMUSG00000001128___Cfp	35.229851	39.722416	36.224045	43.267345
ENSMUSG00000001131___Timp1	7.821056	16.129486	8.248174	10.919408
ENSMUSG00000001134___Uxt	20.710243	20.113605	22.933361	13.767637
ENSMUSG00000001138___Cnnm3	31.500929	35.834202	30.207434	35.3606
ENSMUSG00000001143___Lman2l	24.578712	30.838125	25.1731	28.045551
ENSMUSG00000001150___Mcm3ap	48.929417	54.30344	48.617992	44.818752
ENSMUSG00000001151___Pcnt	20.797756	25.509115	22.4529	22.455509
ENSMUSG00000001155___Ftcd	0.859546	0.409076	0.156566	0.124085
ENSMUSG00000001156___Mxd1	20.592726	20.979446	21.637047	20.797516
ENSMUSG00000001157___Gmcl1	76.351509	86.393173	90.472748	89.612717
ENSMUSG00000001158___Snrnp27	37.108494	35.305618	30.694559	36.593838
ENSMUSG00000001166___Oas1c	0.532474	0.46493	1.159158	1.331601
ENSMUSG00000001168___Oas1h	0	0	0	0
ENSMUSG00000001173___Ocrl	81.239433	99.80249	88.522133	95.177177
ENSMUSG00000001175___Calm1	493.949768	438.207306	413.025146	309.835571
ENSMUSG00000001211___Agpat3	77.85778	78.449913	80.811501	88.387985
ENSMUSG00000001225___Slc26a3	0.171359	0.114977	0.044418	0.118689
ENSMUSG00000001227___Sema6b	41.837902	39.612057	41.259483	43.488457
ENSMUSG00000001228___Uhrf1	0.512499	0.730841	0.458631	0.152558
ENSMUSG00000001229___Dpp9	26.839005	34.926628	26.435961	32.972115
ENSMUSG00000001240___Ramp2	6.346938	4.488174	3.009724	3.471715
ENSMUSG00000001247___Lsr	2.86869	2.935702	2.110058	3.650301
ENSMUSG00000001248___Gramd1a	76.391098	92.947556	85.014587	98.218323
ENSMUSG00000001249___Hpn	8.948312	11.319757	10.40124	11.735501
ENSMUSG00000001260___Gabrg1	4.459547	7.891258	35.36768	31.066784
ENSMUSG00000001270___Ckb	352.404755	264.234253	406.817444	320.170685
ENSMUSG00000001280___Sp1	21.47061	26.142515	28.626984	26.62676
ENSMUSG00000001281___Itgb7	1.893421	1.672137	2.414302	1.621159
ENSMUSG00000001285___Myg1	56.915569	53.684372	58.658428	50.79982
ENSMUSG00000001288___Rarg	14.744013	17.766621	23.976799	28.171726
ENSMUSG00000001289___Pfdn5	36.926346	28.497158	31.427214	32.822643
ENSMUSG00000001300___Efnb2	50.238071	50.8069	44.051414	33.480751
ENSMUSG00000001305___Rrp15	17.313475	18.264683	18.751398	17.202621
ENSMUSG00000001313___Rnd2	5.129168	4.660052	18.099497	14.560135
ENSMUSG00000001323___Srr	43.902065	47.603065	35.759491	32.864681
ENSMUSG00000001333___Sync	2.601647	5.92941	5.680848	5.175563
ENSMUSG00000001334___Fndc5	24.257208	22.753296	50.251015	46.373196
ENSMUSG00000001348___Acp5	0	0	0.884466	0
ENSMUSG00000001349___Cnn1	1.015636	1.071502	0.946736	2.375244
ENSMUSG00000001366___Fbxo9	57.782795	51.645359	63.194668	67.659706
ENSMUSG00000001376___Vps50	78.007286	95.297485	64.131027	77.573532
ENSMUSG00000001380___Hars	33.014057	30.219461	32.713497	32.685017
ENSMUSG00000001383___Zmat2	21.432142	19.565981	20.704073	17.61277
ENSMUSG00000001403___Ube2c	0.33672	0	0.29411	0.187
ENSMUSG00000001415___Smg5	94.17984	107.05143	123.273819	135.935562
ENSMUSG00000001416___Cct3	50.599545	48.804394	66.075233	59.248375
ENSMUSG00000001418___Glmp	8.795631	8.837103	8.917483	8.652909
ENSMUSG00000001419___Mef2d	76.956383	78.819679	60.828545	70.205894
ENSMUSG00000001420___Tmem79	1.63639	3.878421	4.29499	2.277744
ENSMUSG00000001424___Snd1	63.441025	65.229576	51.423306	58.210697
ENSMUSG00000001435___Col18a1	4.14103	5.252664	25.564934	38.305519
ENSMUSG00000001436___Slc19a1	14.682785	16.673635	13.345478	18.526459
ENSMUSG00000001440___Kpnb1	81.872215	86.58844	87.923645	83.827545
ENSMUSG00000001441___Npepps	145.716217	163.611877	191.893936	190.808868
ENSMUSG00000001444___Tbx21	0.265281	0	0	0
ENSMUSG00000001445___Mrpl10	13.721162	13.463302	19.843616	18.074894
ENSMUSG00000001467___Cyp51	43.728851	45.396473	48.117249	46.543056
ENSMUSG00000001472___Tcf25	180.872391	203.850021	177.321686	184.300491
ENSMUSG00000001473___Tubb6	8.464229	10.320264	10.029535	3.711351
ENSMUSG00000001482___Def8	33.341869	34.739094	38.863956	45.708664
ENSMUSG00000001493___Meox1	0	0.371838	0	0
ENSMUSG00000001494___Sost	0.271547	0.17717	0.376844	0.166493
ENSMUSG00000001496___Nkx2-1	0.599162	0.089478	1.956183	2.100529
ENSMUSG00000001497___Pax9	0	0	0	0
ENSMUSG00000001504___Irx2	1.05137	1.798448	8.71866	10.566725
ENSMUSG00000001506___Col1a1	0.451361	0.642014	0.305747	0.314578
ENSMUSG00000001507___Itga3	11.335844	13.588328	31.451353	33.408863
ENSMUSG00000001508___Sgca	0	0	0.101018	0.450795
ENSMUSG00000001510___Dlx3	0	0	0.108184	0
ENSMUSG00000001517___Foxm1	1.839085	1.210627	2.550365	1.989724
ENSMUSG00000001518___Itfg2	24.719269	26.363079	38.427094	37.686852
ENSMUSG00000001520___Nrip2	15.846965	16.021574	30.904135	32.142673
ENSMUSG00000001521___Tulp3	36.622158	40.734421	48.592297	63.355652
ENSMUSG00000001524___Gtf2h4	28.388655	30.832788	23.330158	27.87649
ENSMUSG00000001525___Tubb5	86.918434	70.942337	90.211159	67.269127
ENSMUSG00000001542___Ell2	32.865795	40.403397	28.642773	31.09532
ENSMUSG00000001552___Jup	17.655575	15.20348	22.690201	15.890514
ENSMUSG00000001555___Fkbp10	1.193011	1.5903	2.058533	1.963819
ENSMUSG00000001558___Klhl10	8.214554	12.181965	7.459697	8.599626
ENSMUSG00000001566___Mnx1	0	0	0	0
ENSMUSG00000001569___Nom1	10.005507	10.9008	11.810627	12.680497
ENSMUSG00000001576___Ergic1	106.197517	135.654007	100.867104	129.493195
ENSMUSG00000001583___Tnk1	0.390604	0	0	0.344984
ENSMUSG00000001588___Acap1	0.074742	0.225308	0	0.306145
ENSMUSG00000001604___Tcea3	0	0	0	0
ENSMUSG00000001622___Csn3	0	0	0	0
ENSMUSG00000001627___Ifrd1	57.720699	63.91573	52.628189	42.974991
ENSMUSG00000001630___Stk38l	34.602356	29.610476	29.733128	32.942368
ENSMUSG00000001632___Brpf1	31.3295	43.232578	30.880882	37.15134
ENSMUSG00000001642___Akr1b3	26.870821	27.409029	18.855986	24.210743
ENSMUSG00000001655___Hoxc13	0	0	0	0
ENSMUSG00000001656___Hoxc11	0	0	0	0
ENSMUSG00000001657___Hoxc8	0	0	0	0
ENSMUSG00000001661___Hoxc6	0	0	0	0
ENSMUSG00000001663___Gstt1	5.618304	5.791306	3.456827	3.368437
ENSMUSG00000001665___Gstt3	0.457056	0.131097	0.920851	0.299217
ENSMUSG00000001666___Ddt	4.77802	5.216662	8.760248	7.665104
ENSMUSG00000001670___Tat	0	0	0.111766	0
ENSMUSG00000001672___Marveld3	1.624697	2.148788	1.6353	3.441737
ENSMUSG00000001674___Ddx18	21.999811	23.614187	24.776983	27.056587
ENSMUSG00000001687___Ubl3	51.24649	51.599495	66.76429	61.260281
ENSMUSG00000001700___Gramd3	4.117862	3.199185	2.96754	4.101008
ENSMUSG00000001707___Eef1e1	8.004055	8.87882	12.934613	10.184872
ENSMUSG00000001729___Akt1	38.590431	41.072693	56.544476	49.857166
ENSMUSG00000001739___Cldn15	0.861749	0.673561	0.833003	1.512493
ENSMUSG00000001741___Il16	20.880871	22.736153	32.472214	30.210272
ENSMUSG00000001750___Tcirg1	12.881394	9.454292	18.14863	26.337393
ENSMUSG00000001751___Naglu	7.742324	5.793258	8.42812	7.507004
ENSMUSG00000001755___Coasy	20.288626	22.896475	21.438139	22.397348
ENSMUSG00000001761___Smo	2.70925	2.558024	1.686606	2.321723
ENSMUSG00000001763___Tspan33	28.694574	27.042116	27.334751	25.942263
ENSMUSG00000001767___Crnkl1	24.433922	19.439718	24.555826	22.964056
ENSMUSG00000001768___Rin2	7.048724	6.640823	11.760701	8.410489
ENSMUSG00000001773___Folh1	3.212009	1.575405	2.930162	2.248832
ENSMUSG00000001774___Chordc1	140.829971	136.851929	177.741409	153.684479
ENSMUSG00000001783___Rtcb	49.391716	49.804619	58.715202	52.958805
ENSMUSG00000001785___Pwp1	17.239206	17.059267	22.551973	20.140413
ENSMUSG00000001786___Fbxo7	22.813383	29.392227	42.451565	35.36792
ENSMUSG00000001794___Capns1	42.541641	42.484085	50.142265	51.208748
ENSMUSG00000001802___Lrp3	45.65057	51.345295	52.197792	51.782928
ENSMUSG00000001804___Dsg4	0	0	0	0
ENSMUSG00000001815___Evx2	0.098166	0	0.384828	0.051542
ENSMUSG00000001819___Hoxd13	0.108098	0	0	0
ENSMUSG00000001823___Hoxd12	0	0	0	0
ENSMUSG00000001827___Folr1	0.240437	0	0.166644	0.2888
ENSMUSG00000001829___Clpb	52.891388	53.44548	47.305061	47.726757
ENSMUSG00000001833___Septin7	216.683548	236.403915	188.96196	168.4086
ENSMUSG00000001844___Zdhhc4	67.062141	66.684166	58.714092	68.959778
ENSMUSG00000001847___Rac1	35.442539	32.76635	31.196533	32.986973
ENSMUSG00000001855___Nup214	40.582207	51.513241	47.572643	45.884701
ENSMUSG00000001864___Aif1l	0.718753	0.096685	0.602585	0.40526
ENSMUSG00000001865___Cpa3	0	0.148198	0.102227	0
ENSMUSG00000001870___Ltbp1	2.745606	2.78488	3.255836	2.315034
ENSMUSG00000001891___Ugp2	26.866049	22.389822	35.112282	29.516296
ENSMUSG00000001901___Kcnh6	2.812459	2.90528	4.861721	6.194859
ENSMUSG00000001909___Trmt1	133.616669	146.250076	106.451416	132.288925
ENSMUSG00000001910___Nacc1	28.914867	31.006947	26.858673	32.265522
ENSMUSG00000001911___Nfix	68.280273	64.739311	22.58083	15.85282
ENSMUSG00000001918___Slc1a5	0.195944	0.812127	1.530349	1.644063
ENSMUSG00000001924___Uba1	82.291161	83.792465	100.122269	84.203949
ENSMUSG00000001930___Vwf	0.212426	0.264671	0.060386	0.030964
ENSMUSG00000001942___Siae	33.944508	36.668056	17.378014	16.934931
ENSMUSG00000001943___Vsig2	50.105927	41.626759	5.201489	9.130919
ENSMUSG00000001946___Esam	11.727973	8.045695	4.623552	3.880793
ENSMUSG00000001948___Spa17	5.598283	9.363262	1.290276	3.099602
ENSMUSG00000001962___Fam50a	26.605993	23.593798	21.812172	24.140938
ENSMUSG00000001964___Emd	10.77448	7.634864	8.850408	10.214225
ENSMUSG00000001983___Taco1	8.98344	6.785148	9.497511	11.566423
ENSMUSG00000001985___Grik3	28.590006	34.786034	26.535923	26.75141
ENSMUSG00000001986___Gria3	345.672791	386.733673	248.163712	258.380859
ENSMUSG00000001988___Npas1	1.619615	2.200372	11.799087	14.845886
ENSMUSG00000001995___Sipa1l2	22.25601	21.912174	25.715235	27.140043
ENSMUSG00000001998___Ap4e1	44.739933	43.788643	52.209618	54.766548
ENSMUSG00000001999___Blvra	11.83067	16.365757	14.803483	17.963358
ENSMUSG00000002006___Pdzd4	41.004292	44.027126	39.957314	46.750626
ENSMUSG00000002007___Srpk3	14.091911	14.426226	12.975635	14.554575
ENSMUSG00000002010___Idh3g	157.75827	184.751007	147.706482	187.983765
ENSMUSG00000002012___Pnck	49.733105	62.033974	90.241554	100.548424
ENSMUSG00000002014___Ssr4	79.261734	78.652672	73.219109	84.476173
ENSMUSG00000002015___Bcap31	32.270874	23.503868	27.102369	28.424776
ENSMUSG00000002017___Fam98a	71.179184	63.713306	75.637367	70.064659
ENSMUSG00000002020___Ltbp2	2.648273	2.837519	6.364852	7.725411
ENSMUSG00000002028___Kmt2a	90.714027	100.535873	88.176964	106.726471
ENSMUSG00000002031___Ift46	44.286972	42.759968	39.992229	52.372631
ENSMUSG00000002032___Tmem25	45.246437	45.180805	62.29184	67.684692
ENSMUSG00000002033___Cd3g	0	0	0	0
ENSMUSG00000002043___Trappc6a	4.893984	5.372302	7.19608	6.231427
ENSMUSG00000002052___Supt6	48.308376	54.776333	44.310848	47.315128
ENSMUSG00000002055___Spag5	26.947464	39.329308	11.661609	20.731173
ENSMUSG00000002057___Foxn1	0	0	0	0
ENSMUSG00000002058___Unc119	11.051688	17.952612	27.371004	24.533791
ENSMUSG00000002059___Rab34	29.510263	30.668461	34.041237	34.297237
ENSMUSG00000002064___Sdf2	40.073574	34.713604	35.566502	35.678371
ENSMUSG00000002068___Ccne1	6.675591	10.680091	12.950618	13.242668
ENSMUSG00000002076___Hsf2bp	0.313941	0	0.395951	0.212486
ENSMUSG00000002083___Bbc3	3.430882	3.886283	6.442563	3.251241
ENSMUSG00000002100___Mybpc3	2.707402	3.477946	5.14508	3.866539
ENSMUSG00000002102___Psmc3	68.832428	59.160717	52.875187	48.307243
ENSMUSG00000002103___Acp2	45.57209	51.538548	50.337746	49.456905
ENSMUSG00000002104___Rapsn	0.228067	0.151944	0.423538	0.963479
ENSMUSG00000002105___Slc39a13	44.105011	46.956978	44.099144	39.305103
ENSMUSG00000002107___Celf2	1006.346863	1114.647461	559.735107	573.380066
ENSMUSG00000002108___Nr1h3	4.212529	4.435104	5.564822	3.668533
ENSMUSG00000002109___Ddb2	34.86467	34.240383	30.55921	30.65679
